accrocheurs	m	p	1
accrocheuse	f	s	1
accrocheuses	f	p	1
accrocs	m	p	0
accroissement	m	s	0
accroissements	m	p	0
accroupissement	m	s	0
accroupissements	m	p	0
accru	m	s	1
accrue	f	s	1
accrues	f	p	1
accrus	m	p	1
accréditation	f	s	0
accréditations	f	p	0
accréditement	m	s	0
accréditements	m	p	0
accréditeur	m	s	0
accréditeurs	m	p	0
accréditif	m	s	1
accréditifs	m	p	1
accrédité	m	s	1
accréditée	f	s	1
accréditées	f	p	1
accrédités	m	p	1
accrétion	f	s	0
accrétions	f	p	0
accu	m	s	0
accueil	m	s	0
accueillement	m	s	0
accueillements	m	p	0
accueils	m	p	0
acculage	m	s	0
acculages	m	p	0
acculturation	f	s	0
acculturations	f	p	0
acculée	f	s	1
acculées	f	p	1
accumulateur	m	s	1
accumulateurs	m	p	1
accumulation	f	s	0
accumulations	f	p	0
accus	m	p	0
accusateur	m	s	1
accusateurs	m	p	1
accusatif	m	s	0
accusatifs	m	p	0
accusation	f	s	0
accusations	f	p	0
accusatrice	f	s	1
accusatrices	f	p	1
accusé	m	s	1
accusée	f	s	1
accusées	f	p	1
accusés	m	p	1
accédant	m	s	0
accédants	m	p	0
accélérateur	m	s	1
accélérateurs	m	p	1
accélération	f	s	0
accélérations	f	p	0
accélérographe	m	s	0
accélérographes	m	p	0
accéléromètre	m	s	0
accéléromètres	m	p	0
accéléré	m	s	1
accélérés	m	p	1
ace	m	s	0
acensement	m	s	0
acensements	m	p	0
acerbité	f	s	0
acerbités	f	p	0
aces	m	p	0
acescence	f	s	0
acescences	f	p	0
achaine	m	s	0
achaines	m	p	0
achalandage	m	s	0
achalandages	m	p	0
achalandement	m	s	0
achalandements	m	p	0
achalasie	f	s	0
achalasies	f	p	0
achard	m	s	0
achards	m	p	0
acharisme	m	s	0
acharismes	m	p	0
acharnement	m	s	0
acharnements	m	p	0
acharné	m	s	1
acharnée	f	s	1
acharnées	f	p	1
acharnés	m	p	1
achat	m	s	0
achats	m	p	0
ache	f	s	0
acheminement	m	s	0
acheminements	m	p	0
aches	f	p	0
acheteur	m	s	1
acheteurs	m	p	1
acheteuse	f	s	1
acheteuses	f	p	1
acheuléen	m	s	1
acheuléens	m	p	1
achevage	m	s	0
achevages	m	p	0
achevé	m	s	1
achevés	m	p	1
achigan	m	s	0
achigans	m	p	0
achillée	f	s	0
achillées	f	p	0
acholie	f	s	0
acholies	f	p	0
achondroplasie	f	s	0
achondroplasies	f	p	0
achoppement	m	s	0
achoppements	m	p	0
achromat	m	s	0
achromaticité	f	s	0
achromaticités	f	p	0
achromatisation	f	s	0
achromatisations	f	p	0
achromatisme	m	s	0
achromatismes	m	p	0
achromatopsie	f	s	0
achromatopsies	f	p	0
achromats	m	p	0
achromie	f	s	0
achromies	f	p	0
achylie	f	s	0
achylies	f	p	0
achète	m	s	0
achètes	m	p	0
achèvement	m	s	0
achèvements	m	p	0
achéen	m	s	1
achéenne	f	s	1
achéennes	f	p	1
achéens	m	p	1
acidalie	f	s	0
